 m_0     m_1/2     m_~q       m_~g           2jets            3jets                 4jets
1800  150  1.806e+03  4.396e+02  5.5412  18.8418  24.8143
1800  200  1.826e+03  5.654e+02  5.6894  14.3226  20.7195
1800  225  1.838e+03  6.267e+02  4.1018  10.6792  15.3133
1800  250  1.851e+03  6.870e+02  2.7890  7.2013  9.6095
1800  275  1.865e+03  7.465e+02  2.3943  5.6335  7.3002
1800  300  1.880e+03  8.053e+02  1.8274  4.0466  5.0012
1800  325  1.897e+03  8.635e+02  1.2237  2.6452  3.0445
1800  350  1.914e+03  9.210e+02  0.9384  1.7688  1.9705
1800  375  1.933e+03  9.779e+02  0.6442  1.1649  1.2415
1800  400  1.952e+03  1.034e+03  0.4824  0.8028  0.8179
1800  450  1.994e+03  1.146e+03  0.2412  0.3524  0.3358
1800  500  2.039e+03  1.255e+03  0.1148  0.1523  0.1401
1800  550  2.087e+03  1.364e+03  0.0536  0.0667  0.0594
1800  600  2.138e+03  1.470e+03  0.0250  0.0292  0.0258
1800  650  2.192e+03  1.576e+03  0.0114  0.0129  0.0111
1800  700  2.248e+03  1.680e+03  0.0052  0.0057  0.0050
1800  750  2.306e+03  1.784e+03  0.0023  0.0024  0.0021
1800  800  2.366e+03  1.887e+03  0.0010  0.0011  0.0009
1800  900  2.491e+03  2.091e+03  0.0002  0.0002  0.0002
1800  1000  2.621e+03  2.292e+03  0.0000  0.0000  0.0000
1800  1100  2.756e+03  2.492e+03  0.0000  0.0000  0.0000
1800  1200  2.893e+03  2.689e+03  0.0000  0.0000  0.0000
1900  100  1.889e+03  3.091e+02  9.5530  19.4413  33.2848
1900  150  1.903e+03  4.407e+02  4.9142  19.4907  27.3763
1900  200  1.922e+03  5.669e+02  4.4651  13.3544  19.5368
1900  225  1.933e+03  6.284e+02  3.9309  10.5172  14.9755
1900  250  1.946e+03  6.889e+02  2.8142  7.1707  9.2478
1900  275  1.959e+03  7.481e+02  2.1986  5.2849  6.6304
1900  300  1.973e+03  8.076e+02  1.6447  3.7870  4.6853
1900  325  1.989e+03  8.660e+02  1.1258  2.3881  2.7885
1900  350  2.006e+03  9.237e+02  0.8370  1.6488  1.8585
1900  375  2.023e+03  9.808e+02  0.5922  1.1018  1.1843
